Country Name,Country Code,mean_pib
Aruba,ABW,2596102515.182239
Unknown,AFE,488925744841.86316
Afganistán,AFG,14180778311.558445
Unknown,AFW,369343120022.4958
Angola,AGO,49406326429.60504
Albania,ALB,7907615249.208133
Andorra,AND,2071126646.6813192
El mundo árabe,ARB,1390095083183.8687
Emiratos Árabes Unidos,ARE,201701604995.3439
Argentina,ARG,359259016486.8221
Armenia,ARM,7720264584.694791
Samoa Americana,ASM,684204434.7509997
Antigua y Barbuda,ATG,1098519943.987956
Australia,AUS,754979901077.8411
Austria,AUT,254513743758.84842
Azerbaiyán,AZE,32343960647.55812
Burundi,BDI,2021470070.9625669
Bélgica,BEL,307562248674.5804
Benin,BEN,5913931042.446471
Burkina Faso,BFA,5426671266.879408
Bangladesh,BGD,91382859476.2858
Bulgaria,BGR,41807474718.66812
Bahrein,BHR,16552140003.193941
Bahamas,BHS,8012584232.085949
Bosnia y Herzegovina,BIH,12524533667.608826
Belarús,BLR,41572776710.00868
Belice,BLZ,1052544698.6857731
Bermudas,BMU,5156205890.2028055
Bolivia,BOL,17030555149.407413
Brasil,BRA,1023314980970.2665
Barbados,BRB,3696240101.7403207
Brunei Darussalam,BRN,11088267816.617077
Bhután,BTN,934175767.9805629
Botswana,BWA,6490094636.56399
República Centroafricana,CAF,1559480493.5385435
Canadá,CAN,961131567709.3438
Europa Central y del Báltico,CEB,1062450479229.0648
Suiza,CHE,479952365875.401
Islas del Canal,CHI,
Chile,CHL,115482044676.85919
China,CHN,3837071247897.453
Côte d'Ivoire,CIV,27124579989.88643
Camerún,CMR,17462371643.088657
"Congo, República Democrática del",COD,27516306725.936344
"Congo, República del",COG,5931814638.740941
Colombia,COL,148242244548.23453
Comoras,COM,716135069.4731555
Cabo Verde,CPV,1039906346.1533939
Costa Rica,CRI,27668048489.16656
Estados pequeos del Caribe,CSS,23025498603.87239
Cuba,CUB,54361499681.17792
Curacao,CUW,2912184034.7264266
Islas Caimán,CYM,4836358290.383029
Chipre,CYP,14706766501.439259
República Checa,CZE,158197024054.9048
Alemania,DEU,2342545913949.8003
Djibouti,DJI,2833761442.905637
Dominica,DMA,412802577.7683251
Dinamarca,DNK,215859724678.5085
República Dominicana,DOM,33121461172.564728
Argelia,DZA,102373137448.96281
Asia oriental y el Pacífico (excluido altos ingresos),EAP,4856842161437.362
inicial del dividendo demográfico,EAR,5181295379711.621
Asia oriental y el Pacífico,EAS,9983866279283.074
Europa y Asia central (excluido altos ingresos),ECA,1085119199181.0668
Europa y Asia central,ECS,13720123546254.814
Ecuador,ECU,49443521337.8672
"Egipto, República Árabe de",EGY,159043877240.0539
Zona del Euro,EMU,8121748602947.158
Eritrea,ERI,1917224973.2002385
España,ESP,783406510148.697
Estonia,EST,18954676026.453144
Etiopía,ETH,26812406445.757256
Unión Europea,EUU,9277524974111.61
Frágiles y situaciones de conflicto afectados,FCS,899929868590.2622
Finlandia,FIN,157161089590.06024
Fiji,FJI,2854494163.04378
Francia,FRA,1664364296424.0344
Islas Feroe,FRO,2550763942.605048
Micronesia (Estados Federados de),FSM,258586818.37801382
Gabón,GAB,8654443878.310469
Reino Unido,GBR,1905583149859.9705
Georgia,GEO,12914488038.378096
Ghana,GHA,23021837680.735424
Gibraltar,GIB,2044000000.0
Guinea,GIN,5551398755.760914
Gambia,GMB,873019625.0291109
Guinea-Bissau,GNB,741204066.7104737
Guinea Ecuatorial,GNQ,5986601895.896634
Grecia,GRC,160421419584.6587
Granada,GRD,693844853.8709738
Groenlandia,GRL,1739091539.8308945
Guatemala,GTM,33380492259.68711
Guam,GUM,5460090549.850514
Guyana,GUY,3285292052.7889147
Ingreso alto,HIC,31228179734209.438
"Hong Kong, Región Administrativa Especial",HKG,150010247765.68842
Honduras,HND,11000765325.68227
Países pobres muy endeudados (PPME),HPC,349914802012.79254
Croacia,HRV,47459190606.431946
