"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","1040067814.01792","1207294403.72276","1432438495.22781","1606191000.62845","1669818678.66249","1802784198.40914","1908830345.97587","2048321812.23325","2216364111.87433","2272818090.43191","2299768906.23206","2461830746.1686","2510870031.79451","2541955653.38816","2735726915.78639","2850135060.01","2823202609.54275","2854554404.37331","3062757840.26596","3051023261.17582","3085420847.19517","3180746293.72871","3239137008.32128","2860878965.88948","2782678075.47099","2876433099.90676","2846495187.52904","3029567030.34403","2981500673.04632","2962907262.56983","3013858155.98809","3226290954.32065","3303132499.87959","3227066765.54543","2453132865.8745","3131163015.59374","3458629980.61776","",
"","AFE","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","152801140038.932","153504187313.199","165581915974.475","174881658801.57","183045371237.949","192452053673.201","201747190710.541","212590055028.189","221412594349.146","232658555606.834","235304524459.99","248184884283.103","255108125507.768","266785769928.141","281375115992.139","285385197910.642","292163864305.82","295499007536.226","299981109337.043","308729030057.111","325577473210.764","338655869394.149","339738164722.803","339815076373.506","351255275156.235","350849435200.733","358781204559.382","373005144081.566","388940870426.431","399433875504.916","400160968578.47","399789983815.416","390374495346.735","388065113583.224","395434537181.729","412371762037.557","434865700351.801","451559227208.536","459499329803.337","471703443866.977","486891365477.53","503981966864.173","523343171759.263","538851950295.127","568797912050.619","603863369699.998","643583051679.5","686359400901.096","716360840011.32","722667189121.803","760489985276.37","791434473135.709","805333726107.164","839563188665.822","873004516663.327","899295676086.836","918932523633.942","943297098194.971","968593667253.301","989798694036.45","962278543441.163","1005555866031.16","1041297568267.86","1068603622768.45",
"Afganistán","AFG","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6206547590.33959","5621147631.12468","7228795918.92525","7867263256.28817","7978515641.58304","8874480195.58321","9349921885.77888","10642671963.1135","11060395115.6809","13426272073.2398","15354612541.5059","15420077665.5323","17386490239.3536","18360263162.7578","18860496494.0404","19134221644.7325","19566715174.1633","20084646751.4954","20323499020.3639","21118473702.3471","20621957125.2077","16345202562.5485","15325233810.1388","",
"","AFW","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","107775767046.39","109794897646.742","113865700843.862","122002298396.085","128598234846.51","133873966223.354","131815532877.224","119818390673.89","121692329015.007","140270491058.233","164910983590.099","182362880595.932","188153726685.462","195726322620.585","215406613351.306","210758715900.536","228614000719.336","239099946941.351","234435993902.984","246387630536.131","251114765337.689","234051528795.488","226331046417.685","211928161774.587","213005214822.137","224506056584.445","227559592729.46","230755854911.481","241659930590.623","245805005749.982","259997363696.637","262621685108.115","269144321721.009","265598051622.199","264738892774.502","269819530486.913","282365622652.944","294922498563.624","305567171214.07","310288257790.312","322264640666.103","339051709225.464","372710820654.863","393332785744.049","424770689819.116","449530318603.84","473691501361.891","499852150618.075","531250190048.016","564623870976.009","603981546019.444","633270356760.293","665791526686.494","706448820513.055","748310030450.221","769367317617.821","770455884800.531","788060504144.218","810462266683.783","836575592045.298","828172881287.314","861257182052.719","893851336757.184","923730781089.017",
"Angola","AGO","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","23063262074.1287","22048478261.8064","22048478261.8064","22974514663.7731","24352986041.0185","25205340428.2749","25936295739.8901","26995209500.2078","28649716324.6879","28661640755.4345","27672785864.6311","27947122601.4351","26315491127.1309","20004137038.1834","20272065135.4562","23312874911.6258","26470456890.2009","28395991341.425","29728088881.4462","30376604083.8731","31304495193.7788","32621161809.6533","37079068252.7358","38187732393.4926","42369289092.8509","48737393239.5031","54366562157.632","61983317520.5949","68906854084.0594","69499453030.6657","72556300249.883","75075493556.7676","81488522604.1031","85525963563.9192","89650503847.7041","90496420506.5957","88161512205.7027","88031782694.3787","86872966032.8735","86262880684.9456","81399194250.7301","82375341952.5616","84884003095.5114","85610610955.5435",
"Albania","ALB","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","4650626378.8948","4917834409.43272","5062841517.51705","5118782790.58601","5054716276.96241","5144722777.00532","5434743310.80588","5391926084.81754","5315358596.20905","5838206447.55577","5279160805.75993","3800882718.68776","3527709061.94659","3864937294.2247","4185837881.82175","4743489156.74337","5175146643.27572","4610021453.80966","5017059783.31958","5663799108.52767","6057218861.96683","6559562958.94637","6857139117.39279","7236245479.6585","7635300387.08491","8057259479.00459","8532852033.68952","9043394715.19952","9721653065.53613","10047745438.9452","10420209148.0929","10685445792.0183","10836884503.1437","10945471986.7318","11139693788.8124","11386853113.0189","11764325094.2129","12211675169.6845","12702504600.374","12967696312.7715","12539492342.004","13656576505.5665","14319794712.6268","14812273860.772",
"Andorra","AND","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","","","","","","","","","","","859121720.825671","899066287.645476","972337883.873955","1048068101.06496","1106956843.87976","1112958826.53342","1149728616.07193","1182364531.66875","1199662526.88248","1200161072.98062","1226669361.97932","1225044337.74228","1240314039.00149","1262269064.99208","1284796612.98647","1314622305.97587","1357391199.73216","1432687347.91701","1505673114.89098","1578352471.84563","1638036096.2748","1679740553.0064","1695348938.06262","1677861678.41049","1717848180.07992","1765217871.35903","1847295889.29006","2014802622.35064","2079171403.40932","2164398280.15413","2240766094.41807","2422701909.33042","2532846713.48552","2753057566.57311","2977037419.5986","3137731825.90577","3288615581.62834","3339693968.84633","3154034156.98041","2986780565.70671","2927792903.99219","2927556638.32444","2781926981.02275","2683235436.38042","2750436142.73572","2789881258.50362","2893376871.7235","2903390035.7376","2949518094.67896","3008967036.98289","2672445970.88657","2893916907.5355","3170685261.18363","3216475797.74249",
"El mundo árabe","ARB","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","","","","","","","253611093191.758","270707973264.601","300031659754.609","322444802417.051","394415895538.579","430381237352.421","496993124582.541","566804164719.437","627210925805.134","616672962653.831","711599635222.843","762265025261.349","766873033496.203","851430679126.847","904562698151.624","908437368115.483","837908903516.229","793240490991.717","803403929982.579","792962458319.026","819777055072.078","813428401989.882","854586197847.786","884906006876.721","969119364043.76","982837289393.016","1044646894788.23","1071749337330.94","1105713273812.26","1135754341770.5","1187893836007","1246619788348.63","1307052452138.28","1331348413330.1","1419192122718.16","1443014243731.93","1452633272202","1523391104256.26","1658559781083.16","1749225933124.91","1857079402359.12","1940555004994.26","2048270460398.76","2056652027545.95","2155670984617.98","2232690455534.3","2344404910568.34","2403484093830.06","2460776074977.27","2544136348540.18","2635965590221.78","2675802513982.05","2745993015911.72","2791881604204.51","2641092659011.14","2776228048075.37","2937057964572.98","2964366493989.14",
"Emiratos Árabes Unidos","ARE","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","","","","","","","","","","","14070592924.3315","19222171572.0961","26734126558.9986","47217855776.3467","54063519992.5624","57430272387.4146","66921691095.8958","81269253405.4258","79977394655.222","96711523271.0005","119801181764.466","125382930480.49","116958054938.6","111407435357.046","115882617757.184","111717244274.19","95006426309.5243","98219526269.6952","95647247529.5503","107448100944.22","127141173341.448","128234691621.359","132524071345.554","134195452934.192","143449770720.493","153043528513.017","161917610697.963","175179308497.335","175690822166.667","180789745171.171","200410321466.334","203214232286.707","208159362862.998","226478512548.989","248144435949.927","260192198684.156","285788137283.331","294888746643.285","304301112624.578","288346842937.124","292968610443.839","311179896153.556","316857313565.968","332876224084.284","346742821790.424","370275469571.137","390868305597.139","393741456224.296","398914879874.988","403336245504.457","383342656333.374","400036290964.175","431440812447.755","446126441632.292",
"Argentina","ARG","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","150797810295.884","158982878499.524","157628310158.567","149261089202.812","164381681831.918","181755894112.433","180556802912.311","186320169964.576","195305461613.156","214210104570.482","220734180309.322","233223609573.669","237021461356.448","243685921868.226","257171024124.452","257097956426.363","251909073021.038","269376820356.431","257238364643.474","283535234199.299","287841521828.634","272903153784.458","270895516738.16","282677015450.457","287117132733.287","272218554792.861","288969188904.054","296785426416.393","293550663101.649","272541389928.67","265817211205.311","290094591011.844","313120244489.89","338817957426.035","358592053441.545","348389357874.283","367643757074.802","397463514160.866","412766570325.764","398792535409.293","395646066535.875","378202665751.853","336999433710.193","366780211148.674","399898899166.738","435296589745.339","470325565798.353","512690850741.56","533491913656.279","501917060966.235","552738161802.463","585924294024.785","579910247223.428","593858966307.156","578937574935.696","594749285413.212","582376550428.09","598790850843.677","583118120294.002","571450737224.442","514874343768.066","570058627079.249","598312841626.662","589035991825.944",
"Armenia","ARM","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5839777093.95123","5156523262.60518","3001096397.25066","2736999950.50702","2884798023.90046","3083849041.96219","3264729146.7809","3373153403.74995","3619393601.80914","3738833590.68989","3959424772.65728","4339529550.80371","4912347451.42022","5600076094.6952","6188084084.57212","7048227772.27278","7978593838.17516","9071661194.12856","9697605816.5624","8330243396.35924","8513508751.09706","8913643662.28574","9555426006.05632","9870755064.25618","10226102246.6276","10553337518.414","10574444193.4325","11367527508.1135","11958638938.496","12867495497.6469","11941035821.9185","12633615899.6682","14225451502.9981","15463065783.759",
