Entity,Code,Year,Unemployment rate - Percent of total labor force - Observations,Unemployment rate - Percent of total labor force - Forecasts
Albania,ALB,1980,5.028,
Albania,ALB,1981,4.224,
Albania,ALB,1982,2.813,
Albania,ALB,1983,3.335,
Albania,ALB,1984,4.41,
Albania,ALB,1985,5.853,
Albania,ALB,1986,5.43,
Albania,ALB,1987,5.164,
Albania,ALB,1988,6.033,
Albania,ALB,1989,6.721,
Albania,ALB,1990,8.457,
Albania,ALB,1991,8.9,
Albania,ALB,1992,26.5,
Albania,ALB,1993,22.3,
Albania,ALB,1994,18.4,
Albania,ALB,1995,12.9,
Albania,ALB,1996,12.3,
Albania,ALB,1997,14.9,
Albania,ALB,1998,17.7,
Albania,ALB,1999,18.4,
Albania,ALB,2000,16.8,
Albania,ALB,2001,16.44,
Albania,ALB,2002,15.751,
Albania,ALB,2003,15,
Albania,ALB,2004,14.4,
Albania,ALB,2005,14.1,
Albania,ALB,2006,13.8,
Albania,ALB,2007,13.4,
Albania,ALB,2008,13.1,
Albania,ALB,2009,13.8,
Albania,ALB,2010,14,
Albania,ALB,2011,14,
Albania,ALB,2012,13.4,
Albania,ALB,2013,15.9,
Albania,ALB,2014,17.5,
Albania,ALB,2015,17.1,
Albania,ALB,2016,15.2,
Albania,ALB,2017,13.7,
Albania,ALB,2018,12.3,
Albania,ALB,2019,11.47,
Albania,ALB,2020,11.675,
Albania,ALB,2021,11.4,
Albania,ALB,2022,11.1,11.1
Albania,ALB,2023,,11
Albania,ALB,2024,,11
Albania,ALB,2025,,11
Albania,ALB,2026,,11
Albania,ALB,2027,,11
Albania,ALB,2028,,11
Albania,ALB,2029,,11
Algeria,DZA,1980,15.789,
Algeria,DZA,1981,15.385,
Algeria,DZA,1982,15,
Algeria,DZA,1983,14.286,
Algeria,DZA,1984,16.536,
Algeria,DZA,1985,16.901,
Algeria,DZA,1986,18.356,
Algeria,DZA,1987,20.056,
Algeria,DZA,1988,21.801,
Algeria,DZA,1989,18.1,
Algeria,DZA,1990,19.757,
Algeria,DZA,1991,20.263,
Algeria,DZA,1992,21.368,
Algeria,DZA,1993,23.152,
Algeria,DZA,1994,24.362,
Algeria,DZA,1995,28.105,
Algeria,DZA,1996,27.986,
Algeria,DZA,1997,27.961,
Algeria,DZA,1998,28.021,
Algeria,DZA,1999,29.293,
Algeria,DZA,2000,29.496,
Algeria,DZA,2001,27.306,
Algeria,DZA,2002,25.664,
Algeria,DZA,2003,23.716,
Algeria,DZA,2004,17.656,
Algeria,DZA,2005,15.265,
Algeria,DZA,2006,12.512,
Algeria,DZA,2007,13.793,
Algeria,DZA,2008,11.343,
Algeria,DZA,2009,10.167,
Algeria,DZA,2010,9.961,
Algeria,DZA,2011,9.971,
Algeria,DZA,2012,10.969,
Algeria,DZA,2013,9.829,
Algeria,DZA,2014,10.6,
Algeria,DZA,2015,11.214,
Algeria,DZA,2016,10.498,
Algeria,DZA,2017,11.709,
Algeria,DZA,2018,11.731,
Algeria,DZA,2019,11.383,11.383
Andorra,AND,2010,3,
Andorra,AND,2011,3.675,
Andorra,AND,2012,5.95,
Andorra,AND,2013,6.225,
Andorra,AND,2014,5.325,
Andorra,AND,2015,3.875,
Andorra,AND,2016,3.3,
Andorra,AND,2017,2.35,
Andorra,AND,2018,1.775,
Andorra,AND,2019,2.075,
Andorra,AND,2020,2.925,
Andorra,AND,2021,3.3,
Andorra,AND,2022,2.1,
Andorra,AND,2023,1.5,1.5
Andorra,AND,2024,,1.5
Andorra,AND,2025,,1.5
Andorra,AND,2026,,1.5
Andorra,AND,2027,,1.5
Andorra,AND,2028,,1.5
Andorra,AND,2029,,1.5
Argentina,ARG,1980,3,
Argentina,ARG,1981,5,
Argentina,ARG,1982,4.5,
Argentina,ARG,1983,5,
Argentina,ARG,1984,5,
Argentina,ARG,1985,6.25,
Argentina,ARG,1986,6.3,
Argentina,ARG,1987,6,
Argentina,ARG,1988,6.5,
Argentina,ARG,1989,8,
Argentina,ARG,1990,7.6,
Argentina,ARG,1991,6.48,
Argentina,ARG,1992,7.112,
Argentina,ARG,1993,11.606,
Argentina,ARG,1994,13.348,
Argentina,ARG,1995,18.904,
Argentina,ARG,1996,18.76,
Argentina,ARG,1997,16.808,
Argentina,ARG,1998,14.789,
Argentina,ARG,1999,16.061,
Argentina,ARG,2000,17.134,
Argentina,ARG,2001,19.209,
Argentina,ARG,2002,22.45,
Argentina,ARG,2003,17.25,
Argentina,ARG,2004,13.625,
Argentina,ARG,2005,11.575,
Argentina,ARG,2006,10.175,
Argentina,ARG,2007,8.475,
Argentina,ARG,2008,7.875,
Argentina,ARG,2009,8.675,
Argentina,ARG,2010,7.75,
Argentina,ARG,2011,7.15,
Argentina,ARG,2012,7.2,
Argentina,ARG,2013,7.075,
Argentina,ARG,2014,7.25,
Argentina,ARG,2015,6.533,
Argentina,ARG,2016,8.467,
Argentina,ARG,2017,8.35,
Argentina,ARG,2018,9.2,
Argentina,ARG,2019,9.825,
Argentina,ARG,2020,11.55,
Argentina,ARG,2021,8.75,
Argentina,ARG,2022,6.825,6.825
Argentina,ARG,2023,,6.575
Argentina,ARG,2024,,8
Argentina,ARG,2025,,7.5
Argentina,ARG,2026,,7.2
Argentina,ARG,2027,,7
Argentina,ARG,2028,,7
Argentina,ARG,2029,,7
Armenia,ARM,2001,38.4,
Armenia,ARM,2002,35.3,
Armenia,ARM,2003,31.2,
Armenia,ARM,2004,31.6,
Armenia,ARM,2005,31.2,
Armenia,ARM,2006,27.8,
Armenia,ARM,2007,28.7,
Armenia,ARM,2008,16.4,
Armenia,ARM,2009,18.7,
Armenia,ARM,2010,19,
Armenia,ARM,2011,18.4,
Armenia,ARM,2012,17.3,
Armenia,ARM,2013,16.2,
Armenia,ARM,2014,17.6,
Armenia,ARM,2015,18.5,
Armenia,ARM,2016,18,
Armenia,ARM,2017,17.8,
Armenia,ARM,2018,19,
Armenia,ARM,2019,18.3,
Armenia,ARM,2020,18.2,
Armenia,ARM,2021,15.5,15.5
Armenia,ARM,2022,,13
Armenia,ARM,2023,,12.5
Armenia,ARM,2024,,13
Armenia,ARM,2025,,13.5
Armenia,ARM,2026,,14
Armenia,ARM,2027,,14
Armenia,ARM,2028,,14
Armenia,ARM,2029,,14
Aruba,ABW,1991,6.078,
Aruba,ABW,1992,6.428,
Aruba,ABW,1993,6.022,
Aruba,ABW,1994,5.058,
Aruba,ABW,1995,5.983,
Aruba,ABW,1996,7.169,
Aruba,ABW,1997,6.126,
